LULU,20110623,37200003,100,101.685,D,Q,F,
INFA,20110623,37200007,100,56.42,Z,,F,
YRCW,20110623,37200007,100,0.9399,C,,F,
QCOM,20110623,37200013,100,53.5,Q,,F,
QCOM,20110623,37200013,100,53.5,Q,,F,
QCOM,20110623,37200013,200,53.5,Z,,F,
QCOM,20110623,37200017,100,53.5,J,,F,
QCOM,20110623,37200017,200,53.5,J,,F,
GOOG,20110623,37200040,100,478.81,D,Q,F,
CRBC,20110623,37200043,100,0.6824,P,,F,
CIEN,20110623,37200043,200,18.12,P,,F,
CRBC,20110623,37200043,100,0.6824,P,,F,
INFA,20110623,37200043,100,56.42,P,,F,
GOOG,20110623,37200043,100,478.64,Q,,F,
AAPL,20110623,37200053,100,324.7,P,,F,
RBCN,20110623,37200053,100,16.49,P,,F,
NTAP,20110623,37200057,100,50.34,P,,F,
NTAP,20110623,37200057,1000,50.35,P,,F,
NTAP,20110623,37200057,100,50.35,P,,F,
NTAP,20110623,37200057,100,50.34,P,,F,
LULU,20110623,37200057,100,101.67,P,,F,
FSLR,20110623,37200057,100,119.92,Q,,F,
NTAP,20110623,37200060,100,50.34,P,,F,
LINTA,20110623,37200067,200,16.02,Q,,F,
LINTA,20110623,37200067,400,16.02,Q,,F,
LINTA,20110623,37200067,100,16.02,Z,,F,
LINTA,20110623,37200067,200,16.02,Q,,F,
LINTA,20110623,37200070,100,16.02,K,,F,
LINTA,20110623,37200070,200,16.02,K,,F,
LINTA,20110623,37200070,100,16.02,Z,,F,
LINTA,20110623,37200070,200,16.02,Z,,F,
LINTA,20110623,37200070,100,16.02,Z,,F,
LINTA,20110623,37200070,100,16.02,Z,,F,
LINTA,20110623,37200070,300,16.02,J,,F,
LINTA,20110623,37200070,100,16.02,Z,,F,
LINTA,20110623,37200070,100,16.02,J,,F,
LINTA,20110623,37200070,100,16.02,Z,,F,
LINTA,20110623,37200070,100,16.02,Y,,F,
ENER,20110623,37200070,100,1.16,B,,F,
GOOG,20110623,37200070,100,478.804,D,Q,F,
ENER,20110623,37200070,200,1.16,B,,F,
LINTA,20110623,37200073,100,16.02,D,Q,F,
LINTA,20110623,37200073,300,16.02,D,Q,F,
LINTA,20110623,37200077,100,16.02,K,,F,
LINTA,20110623,37200080,200,16.02,K,,F,
LINTA,20110623,37200080,100,16.02,K,,F,
LINTA,20110623,37200090,500,16.02,D,Q,F,
LINTA,20110623,37200103,200,16.02,D,N,F,
LINTA,20110623,37200120,100,16.02,D,Q,F,
LINTA,20110623,37200123,100,16.02,D,Q,F,
ARAY,20110623,37200123,100,7.54,Q,,F,
VITC,20110623,37200127,100,4.74,Q,,F,
CA,20110623,37200127,300,21.77,Q,,F,
WYNN,20110623,37200127,100,130.36,P,,F,
CA,20110623,37200127,100,21.77,Q,,F,
CA,20110623,37200130,100,21.77,Q,,F,
CA,20110623,37200130,200,21.77,X,,F,
CA,20110623,37200130,100,21.77,Z,,F,
WYNN,20110623,37200130,100,130.36,P,,F,
CA,20110623,37200130,100,21.77,Z,,F,
CA,20110623,37200130,100,21.77,Q,,F,
WYNN,20110623,37200130,100,130.36,P,,F,
YRCW,20110623,37200133,100,0.9399,P,,F,
FNSR,20110623,37200140,100,15.92,K,,F,
FNSR,20110623,37200140,200,15.92,K,,F,
VITC,20110623,37200150,200,4.74,Q,,F,
LINTA,20110623,37200157,200,16.02,K,,F,
CLDX,20110623,37200160,100,3.24,Y,,F,
CREE,20110623,37200167,200,33.62,D,Q,F,
SODA,20110623,37200170,100,50.91,Z,,F,
SODA,20110623,37200170,100,50.9,Z,,F,
SODA,20110623,37200170,100,50.9,Z,,F,
SODA,20110623,37200170,100,50.9,Z,,F,
CA,20110623,37200173,100,21.77,K,,F,
SODA,20110623,37200177,100,50.9,Z,,F,
SODA,20110623,37200177,100,50.91,Q,,F,
SODA,20110623,37200177,100,50.9,Q,,F,
VITC,20110623,37200180,200,4.74,Q,,F,
CA,20110623,37200183,100,21.77,D,Q,F,
CREE,20110623,37200187,100,33.62,Z,,F,
CREE,20110623,37200187,100,33.62,Q,,F,
CREE,20110623,37200187,100,33.62,Z,,F,
