ACHN,20110624,37100213,90,7.12,Q,,G,
ULTA,20110624,37100213,90,61.18,Q,,G,
EXPE,20110624,37100213,90,27.69,X,,G,
EXPE,20110624,37100213,90,27.69,Z,,G,
WTSLA,20110624,37100213,90,4.39,Z,,G,
PAAS,20110624,37100213,90,29.72,Q,,G,
PETM,20110624,37100213,90,44.32,Y,,G,
WTSLA,20110624,37100213,90,4.39,B,,G,
WTSLA,20110624,37100213,90,4.39,B,,G,
WINN,20110624,37100213,90,8.28,Q,,G,
WINN,20110624,37100213,90,8.28,Q,,G,
FRED,20110624,37100213,90,14,Q,,G,
FINL,20110624,37100213,90,22.71,Q,,G,
CASY,20110624,37100213,90,44.2,Z,,G,
WFM,20110624,37100213,90,90.255,Q,,G,
SOHU,20110624,37100213,900,68.4701,D,Q,G,
SHLD,20110624,37100213,90,70.73,Q,,G,
HIBB,20110624,37100213,90,39.285,Q,,G,
HSNI,20110624,37100213,90,30.91,Q,,G,
FRED,20110624,37100213,90,14.01,Q,,G,
URBN,20110624,37100213,90,28.46,X,,G,
CHRS,20110624,37100213,90,3.94,J,,G,
MNRO,20110624,37100213,90,33.43,Q,,G,
CHRS,20110624,37100213,100,3.94,X,,G,
FRED,20110624,37100213,90,14.01,Q,,G,
ROST,20110624,37100213,90,77.92,Q,,G,
TSCO,20110624,37100213,90,65.24,B,,G,
TFM,20110624,37100217,90,38.55,Q,,G,
FINL,20110624,37100217,90,22.7,Q,,G,
SPLS,20110624,37100217,90,15.13,X,,G,
COST,20110624,37100217,90,79.79,Q,,G,
CREE,20110624,37100217,90,33.62,Z,,G,
CHRS,20110624,37100217,90,3.94,Z,,G,
CHRS,20110624,37100217,90,3.94,Z,,G,
TFM,20110624,37100217,90,38.57,K,,G,
MNRO,20110624,37100217,90,33.43,Q,,G,
WINN,20110624,37100217,90,8.27,X,,G,
FRED,20110624,37100217,90,14,Q,,G,
CHRS,20110624,37100217,100,3.94,J,,G,
VECO,20110624,37100217,90,47.04,K,,G,
WINN,20110624,37100217,90,8.27,B,,G,
PETM,20110624,37100217,90,44.32,Q,,G,
PETM,20110624,37100217,100,44.32,Q,,G,
PSMT,20110624,37100217,90,46.98,B,,G,
FINL,20110624,37100217,90,22.7,Q,,G,
SPLS,20110624,37100217,90,15.13,J,,G,
PTRY,20110624,37100217,90,17.71,Q,,G,
WTSLA,20110624,37100217,100,4.39,Q,,G,
EXPE,20110624,37100217,90,27.69,Z,,G,
SFLY,20110624,37100217,90,52.18,X,,G,
RUE,20110624,37100217,90,30.53,Q,,G,
RCII,20110624,37100217,90,28.1,Z,,G,
PLCE,20110624,37100217,90,44.77,X,,G,
URBN,20110624,37100217,90,28.46,Y,,G,
ACTS,20110624,37100217,100,1.96,Q,,G,
CHRS,20110624,37100217,100,3.94,J,,G,
ULTA,20110624,37100217,90,61.18,Q,,G,
NILE,20110624,37100217,90,43.4,B,,G,
ULTA,20110624,37100217,90,61.18,Q,,G,
RCII,20110624,37100220,90,28.11,Q,,G,
SPLS,20110624,37100220,90,15.13,J,,G,
RCII,20110624,37100220,90,28.11,Q,,G,
WTSLA,20110624,37100220,90,4.39,Z,,G,
URBN,20110624,37100220,90,28.46,Q,,G,
URBN,20110624,37100220,90,28.46,Z,,G,
WTSLA,20110624,37100220,90,4.39,Q,,G,
WTSLA,20110624,37100220,90,4.39,Z,,G,
PTRY,20110624,37100220,90,17.71,J,,G,
JOSB,20110624,37100220,90,47.77,Q,,G,
WTSLA,20110624,37100220,90,4.39,Z,,G,
WFM,20110624,37100220,90,90.255,Q,,G,
TFM,20110624,37100220,90,38.53,Q,,G,
WINN,20110624,37100220,90,8.27,B,,G,
SPLS,20110624,37100220,90,15.13,J,,G,
HSNI,20110624,37100220,90,30.91,Q,,G,
WINN,20110624,37100220,90,8.27,Q,,G,
WINN,20110624,37100220,90,8.27,Z,,G,
MNRO,20110624,37100220,90,33.41,Q,,G,
CHRS,20110624,37100220,100,3.94,Z,,G,
FINL,20110624,37100220,90,22.69,J,,G,
PETM,20110624,37100220,90,44.3,Z,,G,
ASNA,20110624,37100220,90,32.73,Q,,G,
URBN,20110624,37100220,90,28.46,K,,G,
NTRI,20110624,37100220,90,12.71,J,,G,
RUE,20110624,37100220,90,30.53,Q,,G,
ULTA,20110624,37100220,90,61.18,D,Q,G,
ORLY,20110624,37100220,90,64,B,,G,
WTSLA,20110624,37100220,100,4.39,Q,,G,
WTSLA,20110624,37100223,90,4.39,Q,,G,
WTSLA,20110624,37100223,90,4.39,J,,G,
WTSLA,20110624,37100223,100,4.39,Q,,G,
ASNA,20110624,37100223,90,32.73,Q,,G,
BBBY,20110624,37100223,90,56.29,Y,,G,
TSCO,20110624,37100223,90,65.27,Q,,G,
WTSLA,20110624,37100223,90,4.39,Q,,G,
PSMT,20110624,37100223,90,46.98,Q,,G,
DLTR,20110624,37100223,90,65.43,Q,,G,
COST,20110624,37100223,90,79.78,Y,,G,
COST,20110624,37100223,90,79.78,Z,,G,
WTSLA,20110624,37100223,90,4.39,J,,G,
ZUMZ,20110624,37100223,90,23.98,Q,,G,
ZUMZ,20110624,37100223,90,24,Z,,G,
SPLS,20110624,37100223,90,15.13,X,,G,
PETM,20110624,37100223,90,44.32,Q,,G,
WINN,20110624,37100223,90,8.28,Q,,G,
NILE,20110624,37100223,90,43.4,Q,,G,
ZUMZ,20110624,37100223,90,24.01,K,,G,
WINN,20110624,37100223,90,8.27,J,,G,
CASY,20110624,37100223,90,44.17,Q,,G,
ASNA,20110624,37100223,90,32.72,Q,,G,
RUE,20110624,37100223,90,30.53,Q,,G,
CHRS,20110624,37100223,90,3.94,Z,,G,
CHRS,20110624,37100223,90,3.94,Z,,G,
PETM,20110624,37100223,90,44.32,Q,,G,
URBN,20110624,37100227,90,28.45,Z,,G,
FRED,20110624,37100227,90,14,Q,,G,
SODA,20110624,37100227,90,50.91,P,,G,
ZUMZ,20110624,37100227,90,23.99,Q,,G,
ULTA,20110624,37100227,90,61.18,P,,G,
NILE,20110624,37100227,90,43.4,Q,,G,
